"bank","case","runs","rmse_mean","mae_mean","mape_mean","mse_mean"
"BDMN","bilstm_pre_norm_data_ga","5","657.613712684843","619.249029541016","22.8876893997192","455095.871875"
"BDMN","lstm_pre_post_norm_macro","5","658.736136961501","620.735833740234","23.2072843551636","493637.265625"
"BDMN","bilstm_pre_post_norm_data_ga","5","667.889399057369","593.27421875","21.7768112182617","469888.08125"
"BDMN","bilstm_pre_post_norm_macro","5","691.568686468086","619.316424560547","23.3359687805176","517870.903125"
"BDMN","bilstm_pre_norm_macro_ga","5","737.26113972784","703.599945068359","26.3969022750854","599536.984375"
"BDMN","lstm_attention_data","5","753.56313315184","733.245642089844","27.4331474304199","581722.875"
"BDMN","lstm_pre_norm_data","5","810.219979645417","730.339416503906","26.8491794586182","687150.6875"
"BDMN","lstm_pre_post_norm_data","5","827.109684310307","720.841857910156","26.4220264434814","750391.0875"
"BDMN","lstm_pre_norm_macro","5","850.573938894007","807.873669433594","30.3071846008301","751754.6125"
"BDMN","bilstm_pre_norm_macro","5","875.660833950916","840.705908203125","31.5144859313965","791746.375"
"BDMN","lstm_pre_norm_macro_ga","5","937.85245383433","911.881420898437","34.1619106292725","894213.775"
"BDMN","lstm_attention_macro","5","955.98794548582","931.944470214844","34.9405445098877","920965.05"
"BDMN","bilstm_attention_macro","5","960.302570402754","937.484899902344","35.0725086212158","967557.9"
"BDMN","lstm_attention_macro_ga","5","1021.24641237395","997.363513183594","37.3573143005371","1056171.7875"
"BDMN","bilstm_attention_macro_ga","5","1039.90617184059","1020.31307373047","38.1523109436035","1115660.0125"
"BMRI","cnn_bilstm_macro","5","1533.71897948656","1299.74731445313","21.2949432373047","2360755.125"
"BMRI","bilstm_post_norm_data_ga","5","1535.09813029636","1292.05150146484","21.1576463699341","2413774.125"
"BMRI","cnn_lstm_macro_ga","5","1560.67639184064","1321.09147949219","21.6303470611572","2443816.5"
"BMRI","cnn_lstm_data","5","1562.43596991977","1325.24287109375","21.7402492523193","2451046.9"
"BMRI","cnn_bilstm_data","5","1589.85602278085","1365.59477539063","22.515648651123","2544053.35"
"BMRI","cnn_lstm_macro","5","1605.26327687115","1373.78608398437","22.6126522064209","2578077.2"
"BMRI","cnn_lstm_data_ga","5","1616.76392053443","1386.71665039063","22.8551948547363","2642447.3"
"BMRI","cnn_bilstm_data_ga","5","1643.43232249493","1429.46123046875","23.6899745941162","2715848.125"
"BMRI","cnn_bilstm_macro_ga","5","1678.68510071583","1445.7013671875","23.8582462310791","2828183.95"
"BMRI","lstm_post_norm_data_ga","5","1684.24566031426","1438.52038574219","23.6681583404541","2849665.4"
"BMRI","lstm_post_norm_data","5","1685.49770894048","1434.69035644531","23.5627994537354","2853223.25"
"BMRI","bilstm_post_norm_data","5","1686.26569865547","1421.90170898438","23.2850524902344","2900925.175"
"BMRI","bilstm_post_norm_macro","5","1722.35401999526","1456.24191894531","23.8543994903564","2982629.2"
"BMRI","bilstm_attention_macro","5","1732.0850428076","1508.71813964844","25.0356334686279","3008932.45"
"BMRI","lstm_post_norm_macro_ga","5","1791.90983823933","1531.75634765625","25.1801574707031","3222541.3"
"BMRI","lstm_post_norm_macro","5","1814.55175040594","1571.22646484375","26.0095157623291","3301113.15"
"BMRI","bilstm_attention_data","5","1832.85860386176","1613.64135742188","26.8946117401123","3372844.35"
"BMRI","bilstm_pre_norm_macro","5","1860.77435757812","1703.87905273437","29.0491672515869","3463630.15"
"BMRI","bilstm_pre_norm_macro_ga","5","1877.81215148028","1710.43413085938","29.0664154052734","3541412.2"
"BMRI","bilstm_attention_macro_ga","5","1899.73806984411","1675.89899902344","27.9511653900146","3618894.8"
"BMRI","bilstm_post_norm_macro_ga","5","1909.13146398491","1657.23776855469","27.4450290679932","3664809.4"
"BMRI","bilstm_attention_data_ga","5","1927.46004634911","1693.81049804687","28.1973022460937","3744789.1"
"BMRI","lstm_attention_data","5","1945.05689545603","1723.70078125","28.8120410919189","3825604.95"
"BMRI","bilstm_pre_post_norm_macro","5","1973.11862862511","1794.02595214844","30.4291500091553","3896606.2"
"BMRI","lstm_pre_post_norm_macro","5","1980.91844949992","1813.89379882813","30.9065044403076","3927063.35"
"BMRI","lstm_pre_norm_macro","5","1981.53817842073","1822.01550292969","31.1235527038574","3940992.75"
"BMRI","lstm_pre_norm_macro_ga","5","1987.84186359763","1819.29509277344","30.9598907470703","3954075.95"
"BMRI","bilstm_pre_post_norm_macro_ga","5","1994.12310557894","1819.59692382813","30.9043418884277","3980029.4"
"BMRI","lstm_pre_post_norm_macro_ga","5","2055.07472968019","1866.5767578125","31.6064399719238","4226810.9"
"BMRI","lstm_pre_post_norm_data","5","2058.32665481308","1858.13962402344","31.4047779083252","4240462.5"
"BMRI","lstm_attention_macro_ga","5","2077.45994185885","1859.8951171875","31.226830291748","4366723.6"
"BMRI","lstm_attention_macro","5","2087.34311333632","1867.64353027344","31.3565898895264","4433850.3"
"BMRI","bilstm_pre_post_norm_data","5","2114.15354499181","1911.09001464844","32.3219043731689","4487709.3"
"BMRI","lstm_pre_norm_data","5","2130.66101232898","1909.00703125","32.0650756835937","4544720.15"
"BMRI","lstm_pre_norm_data_ga","5","2152.69013806422","1931.27729492187","32.4588272094727","4641573.3"
"BMRI","lstm_attention_data_ga","5","2187.21113347526","1957.19340820313","32.8455055236816","4829346.65"
"BMRI","bilstm_pre_norm_data_ga","5","2190.83990827125","1975.63093261719","33.2967109680176","4808809.8"
"BMRI","bilstm_pre_norm_data","5","2201.63577933167","1993.18642578125","33.6784461975098","4865194.1"
"BMRI","bilstm_pre_post_norm_data_ga","5","2224.90108108603","2018.29790039063","34.1461486816406","4970722.8"
"BMRI","lstm_pre_post_norm_data_ga","5","2226.4581564969","2023.14392089844","34.2617172241211","4996413.4"
"BNGA","cnn_bilstm_data_ga","5","247.595532766273","196.964837646484","11.4848386764526","62411.56484375"
"BNGA","cnn_bilstm_macro","5","248.309462320945","190.980590820313","10.9587064743042","62206.88515625"
"BNGA","cnn_bilstm_data","5","251.965823741255","193.213021850586","11.0565753936768","63778.02734375"
"BNGA","bilstm_post_norm_data_ga","5","268.934773389873","210.660821533203","12.3292007446289","73202.07109375"
"BNGA","cnn_lstm_macro","5","268.965272494868","209.153018188477","12.0784631729126","72775.79921875"
"BNGA","cnn_lstm_data","5","270.738325051985","209.067846679688","12.0262729644775","74392.9390625"
"BNGA","cnn_lstm_data_ga","5","283.041265528278","224.460427856445","13.0620765686035","81611.53125"
"BNGA","cnn_lstm_macro_ga","5","291.399802985318","226.895098876953","13.071551322937","86930.9546875"
"BNGA","cnn_bilstm_macro_ga","5","297.930434175986","238.075775146484","13.8425331115723","90756.2828125"
"BNGA","bilstm_post_norm_data","5","305.193292150702","242.730270385742","14.3452171325684","94924.4046875"
"BNGA","bilstm_post_norm_macro","5","313.265371254589","246.046926879883","14.3031099319458","98670.4203125"
"BNGA","lstm_post_norm_data","5","320.553357662122","254.762585449219","14.9909408569336","103187.7546875"
"BNGA","bilstm_post_norm_macro_ga","5","337.726997876614","263.833218383789","15.2663244247437","115557.396875"
"BNGA","lstm_post_norm_macro","5","342.126201296725","276.864541625977","16.3438444137573","120498.2296875"
"BNGA","lstm_post_norm_data_ga","5","344.105451204499","273.099243164063","15.9717531204224","121461.740625"
"BNGA","bilstm_attention_data","5","347.041805975186","278.764239501953","16.3295768737793","122612.4765625"
"BNGA","bilstm_attention_data_ga","5","351.297355057716","284.115783691406","16.6126117706299","129868.6953125"
"BNGA","bilstm_pre_post_norm_macro","5","374.428989606782","334.747845458984","21.0211769104004","141024.228125"
"BNGA","bilstm_pre_norm_macro","5","383.788053450002","346.392010498047","21.6409072875977","147742.9265625"
"BNGA","bilstm_pre_norm_macro_ga","5","387.94964129027","346.420336914062","21.5065811157227","151270.040625"
